OBJECTID,Month,SAT,LST,I_temp,Energy,Delta_T,diff,percent_diff,Predicted_Energy
1,Jan-15,28.69,30.18,20.24,7504,9.940000000000001,-484.9834820840151,-6.070653208529376,7988.983482084015
2,Feb-15,31.46,31.23,21.56,8793,9.670000000000002,-60.06816037671342,-0.6785010494503797,8853.068160376713
3,Mar-15,31.74,30.89,19.22,9120,11.670000000000002,185.2918768280033,2.073843647420919,8934.708123171997
4,Apr-15,31.54,30.76,22.45,8070,8.310000000000002,-811.8284619250189,-9.140330343072915,8881.828461925019
5,May-15,30.29,29.79,23.45,8078,6.34,-419.78451513278014,-4.939928923653354,8497.78451513278
6,Jun-15,28.57,30.82,22.51,8379,8.309999999999999,422.83043030807676,5.31449746771108,7956.169569691923
7,Jul-15,28.41,29.85,23.67,8210,6.18,297.7042435784515,3.7625520170531717,7912.2957564215485
8,Aug-15,28.08,29.87,22.73,7750,7.140000000000001,-56.743548141383144,-0.7268529802659209,7806.743548141383
9,Sep-15,28.16,30.9,22.78,8774,8.119999999999997,945.080374680083,12.07165764767273,7828.919625319917
10,Oct-15,29.16,31.98,20.01,8122,11.969999999999999,-7.756267276416111,-0.09540590174438981,8129.756267276416
11,Nov-15,30.0,29.0,20.36,8562,8.64,161.07135999158345,1.917304227826676,8400.928640008417
12,Dec-15,28.47,30.86,21.02,8612,9.84,691.302466156767,8.727797813298615,7920.697533843233
13,Jan-16,28.71,30.71,20.65,7163,10.060000000000002,,,
14,Feb-16,31.55,32.35,19.83,10407,12.520000000000003,,,
15,Mar-16,31.58,33.58,19.21,10986,14.369999999999997,,,
16,Apr-16,31.39,28.69,21.66,8639,7.030000000000001,,,
17,May-16,30.56,29.76,22.62,7052,7.140000000000001,,,
18,Jun-16,28.48,29.58,19.71,7789,9.869999999999997,,,
19,Jul-16,28.44,29.64,21.18,6448,8.46,,,
20,Aug-16,28.28,29.18,21.26,6228,7.919999999999998,,,
21,Sep-16,28.49,29.59,21.21,6463,8.379999999999999,,,
22,Oct-16,28.98,31.34,20.62,7429,10.719999999999999,,,
23,Nov-16,30.05,31.05,23.48,7839,7.57,,,
24,Dec-16,27.48,32.68,22.0,8867,10.68,,,
25,Jan-17,28.86,33.42,24.06,7263,9.360000000000003,,,
26,Feb-17,31.3,31.65,23.6,6843,8.049999999999997,,,
27,Mar-17,31.74,31.83,21.66,8948,10.169999999999998,,,
28,Apr-17,31.45,30.02,67.22,8778,-37.2,,,
29,May-17,30.47,30.05,67.25,8672,-37.2,,,
30,Jun-17,28.54,30.08,67.28,7406,-37.2,,,
31,Jul-17,28.16,30.11,67.31,8768,-37.2,,,
32,Aug-17,28.54,31.13,22.91,8998,8.219999999999999,,,
33,Sep-17,28.49,30.16,67.36,8527,-37.2,,,
34,Oct-17,28.88,31.85,22.04,8070,9.810000000000002,,,
35,Nov-17,29.93,31.86,21.92,7114,9.939999999999998,,,
36,Dec-17,28.0,32.87,19.73,7340,13.139999999999997,,,
37,Jan-18,28.85,32.75,22.63,8528,10.120000000000001,,,
38,Feb-18,31.71,30.51,22.25,8400,8.260000000000002,,,
39,Mar-18,31.84,31.84,21.43,9246,10.41,,,
40,Apr-18,31.53,31.13,26.08,8845,5.050000000000001,,,
41,May-18,30.6,32.18,24.08,8790,8.100000000000001,,,
42,Jun-18,28.65,31.53,23.67,8416,7.859999999999999,,,
43,Jul-18,28.5,31.76,23.82,7154,7.940000000000001,,,
44,Aug-18,28.59,31.79,25.21,8999,6.579999999999998,,,
45,Sep-18,28.59,33.69,26.81,7578,6.879999999999999,,,
46,Oct-18,29.12,32.12,22.94,8482,9.179999999999996,,,
47,Nov-18,30.27,32.07,21.32,7947,10.75,,,
48,Dec-18,28.26,33.06,22.47,7142,10.590000000000003,,,
49,Jan-19,28.91,31.25,21.2,6841,10.05,,,
50,Feb-19,31.23,31.77,23.62,6759,8.149999999999999,,,
51,Mar-19,31.67,31.89,23.88,6918,8.010000000000002,,,
52,Apr-19,31.85,30.28,22.56,8252,7.720000000000002,,,
53,May-19,30.52,29.31,20.91,8534,8.399999999999999,,,
54,Jun-19,28.65,30.34,21.16,6649,9.18,,,
55,Jul-19,28.59,31.37,22.95,7004,8.420000000000002,,,
56,Aug-19,28.43,29.39,66.59,8895,-37.2,,,
57,Sep-19,28.33,30.42,23.35,7419,7.07,,,
58,Oct-19,28.99,33.76,20.95,7136,12.809999999999999,,,
59,Nov-19,30.25,31.54,21.54,7740,10.0,,,
60,Dec-19,28.04,31.98,20.18,6985,11.8,,,
61,Jan-20,29.0,32.08,19.14,8602,12.939999999999998,,,
62,Feb-20,32.0,31.49,20.82,10034,10.669999999999998,,,
63,Mar-20,32.0,32.53,22.6,8100,9.93,,,
64,Apr-20,32.0,28.41,18.62,10556,9.79,,,
65,May-20,30.0,27.44,18.08,10977,9.360000000000003,,,
66,Jun-20,29.0,29.47,16.56,10786,12.91,,,
67,Jul-20,29.0,29.5,20.01,7565,9.489999999999998,,,
68,Aug-20,28.0,29.52,17.34,9661,12.18,,,
69,Sep-20,29.0,29.55,19.89,7772,9.66,,,
70,Oct-20,29.0,33.98,25.27,3237,8.709999999999997,,,
71,Nov-20,30.0,35.98,29.71,9606,6.269999999999996,,,
72,Dec-20,28.0,34.23,20.08,9606,14.149999999999999,,,
73,Jan-21,29.04,32.24,25.88,8318,6.360000000000003,,,
74,Feb-21,32.04,32.67,25.67,10092,7.0,,,
75,Mar-21,31.8,33.54,26.73,10659,6.809999999999999,,,
76,Apr-21,31.59,26.61,21.19,10390,5.419999999999998,,,
77,May-21,30.5,33.44,22.28,9353,11.159999999999997,,,
78,Jun-21,28.18,31.81,23.1,7710,8.709999999999997,,,
79,Jul-21,28.64,31.53,14.24,7585,17.29,,,
80,Aug-21,28.17,31.32,21.84,8573,9.48,,,
81,Sep-21,28.56,31.64,23.18,9838,8.46,,,
82,Oct-21,29.23,31.31,21.5,5376,9.809999999999999,,,
83,Nov-21,30.06,30.65,20.51,5252,10.139999999999997,,,
84,Dec-21,28.31,32.34,21.0,8512,11.340000000000003,,,
85,Jan-22,29.09,31.23,20.6,8510,10.629999999999999,,,
86,Feb-22,31.46,30.34,20.65,10171,9.690000000000001,,,
87,Mar-22,32.08,32.67,24.9,10292,7.770000000000003,,,
88,Apr-22,31.77,31.54,20.86,9117,10.68,,,
89,May-22,30.53,31.33,20.34,9116,10.989999999999998,,,
90,Jun-22,28.46,32.36,19.82,8763,12.54,,,
91,Jul-22,28.49,31.39,18.81,8602,12.580000000000002,,,
92,Aug-22,28.5,34.3,23.35,6816,10.949999999999996,,,
93,Sep-22,28.53,31.43,23.29,8231,8.14,,,
94,Oct-22,28.98,32.78,24.11,8214,8.670000000000002,,,
95,Nov-22,30.04,33.04,22.48,9651,10.559999999999999,,,
96,Dec-22,28.23,33.13,20.94,7752,12.190000000000001,,,
97,Jan-23,29.07,35.43,24.69,9403,10.739999999999998,,,
98,Feb-23,31.51,31.93,21.46,9281,10.469999999999999,,,
99,Mar-23,32.24,31.97,22.21,10945,9.759999999999998,,,
100,Apr-23,31.63,31.8,22.13,6902,9.670000000000002,,,
101,May-23,30.69,30.83,21.04,8979,9.79,,,
102,Jun-23,28.44,31.86,19.02,7763,12.84,,,
103,Jul-23,28.61,30.89,20.81,6927,10.080000000000002,,,
104,Aug-23,28.75,32.91,21.47,8361,11.439999999999998,,,
105,Sep-23,28.56,30.94,22.48,6909,8.46,,,
106,Oct-23,29.15,35.65,19.87,9751,15.779999999999998,,,
107,Nov-23,30.16,33.64,20.71,6823,12.93,,,
108,Dec-23,28.35,35.83,22.36,4993,13.469999999999999,,,
109,Jan-24,29.39,34.39,20.31,3915,14.080000000000002,,,
110,Feb-24,32.03,34.03,20.49,4614,13.540000000000003,,,
111,Mar-24,31.99,34.89,21.56,5156,13.330000000000002,,,
112,Apr-24,31.62,34.62,21.69,9213,12.929999999999996,,,
113,May-24,30.99,36.89,20.55,7800,16.34,,,
114,Jun-24,28.85,36.65,20.68,5640,15.969999999999999,,,
115,Jul-24,28.8,35.5,18.25,9370,17.25,,,
116,Aug-24,28.74,36.64,20.68,9710,15.96,,,
117,Sep-24,28.64,35.54,18.23,10376,17.31,,,
118,Oct-24,29.74,36.32,20.36,10981,15.96,,,
119,Nov-24,30.66,36.41,18.77,10560,17.639999999999997,,,
120,Dec-24,29.86,36.23,18.89,10745,17.339999999999996,,,
121,Jan-25,28.71,30.71,20.65,10377,10.060000000000002,,,
122,Feb-25,31.55,32.35,19.83,10087,12.520000000000003,,,
123,Mar-25,31.58,33.58,19.21,10069,14.369999999999997,,,
124,Apr-25,31.39,28.69,21.66,9239,7.030000000000001,,,
125,May-25,30.56,29.76,22.62,10884,7.140000000000001,,,
126,Jun-25,28.48,29.58,19.71,7178,9.869999999999997,,,
127,Jul-25,28.44,29.64,21.18,8550,8.46,,,
128,Aug-25,28.28,29.18,21.26,8601,7.919999999999998,,,
129,Sep-25,28.49,29.59,21.21,6823,8.379999999999999,,,
130,Oct-25,28.98,31.34,20.62,7429,10.719999999999999,,,
131,Nov-25,30.05,31.05,23.48,9241,7.57,,,
